City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nadym,RU,65.5333,72.5167,34.07,95,100,20.22,light snow
1,Mahebourg,MU,-20.4081,57.7,75.49,88,75,8.05,light intensity shower rain
2,Coquimbo,CL,-29.9533,-71.3436,53.33,100,40,3.44,scattered clouds
3,Ponta Do Sol,PT,32.6667,-17.1,63.23,51,23,8.19,few clouds
4,Trebisov,SK,48.6286,21.7195,54.99,89,43,6.62,scattered clouds
5,Saldanha,ZA,-33.0117,17.9442,51.85,91,19,5.3,few clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,59,7.11,broken clouds
7,Gornopravdinsk,RU,60.05,69.9,34.41,62,32,10.22,scattered clouds
8,Longyearbyen,SJ,78.2186,15.6401,12.04,67,20,2.3,few clouds
9,Husavik,IS,66.0449,-17.3389,31.46,97,100,13.71,snow
10,Punta Arenas,CL,-53.15,-70.9167,42.91,81,40,29.93,light intensity shower rain
11,Mongagua,BR,-24.0931,-46.6208,75.65,93,57,4.74,broken clouds
12,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,9.22,broken clouds
13,Cockburn Town,TC,21.4612,-71.1419,78.12,86,28,20.29,scattered clouds
14,Kruisfontein,ZA,-34.0033,24.7314,59.54,89,0,5.64,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,24.96,87,100,4.61,overcast clouds
16,Nautanwa,IN,27.4333,83.4167,78.93,61,14,8.86,few clouds
17,Torbay,CA,47.6666,-52.7314,42.28,87,75,10.36,broken clouds
18,Ushuaia,AR,-54.8,-68.3,40.66,70,20,26.46,few clouds
19,Busselton,AU,-33.65,115.3333,54.09,67,47,12.08,scattered clouds
20,Veraval,IN,20.9,70.3667,80.65,83,0,7.61,clear sky
21,Jatai,BR,-17.8814,-51.7144,72.21,60,39,5.66,scattered clouds
22,Kunszentmarton,HU,46.8392,20.2888,55.13,96,96,2.8,overcast clouds
23,Georgetown,MY,5.4112,100.3354,80.53,98,20,3.44,light rain
24,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,6.91,scattered clouds
25,Daoukro,CI,7.0591,-3.9631,73.96,96,97,0.56,overcast clouds
26,Lima,PE,-12.0432,-77.0282,66.38,61,0,6.91,clear sky
27,Qaanaaq,GL,77.484,-69.3632,17.89,76,100,3.13,overcast clouds
28,Camana,PE,-16.6228,-72.7111,66.72,85,94,7.07,overcast clouds
29,Wschowa,PL,51.807,16.3166,52.9,71,96,4.63,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,61.81,94,2,8.84,clear sky
31,Kumluca,TR,36.3703,30.2869,65.08,77,7,2.86,clear sky
32,Mar Del Plata,AR,-38.0023,-57.5575,54.88,71,0,9.22,clear sky
33,Necochea,AR,-38.5473,-58.7368,52.23,66,0,11.59,clear sky
34,Anloga,GH,5.7947,0.8973,82.26,75,52,8.88,broken clouds
35,Quelimane,MZ,-17.8786,36.8883,69.75,100,20,0.0,few clouds
36,Rio Grande,BR,-32.035,-52.0986,61.95,82,100,16.6,overcast clouds
37,Muyezerskiy,RU,63.9333,31.65,23.94,87,43,7.07,scattered clouds
38,Eregli,TR,37.5133,34.0467,58.75,58,98,6.6,overcast clouds
39,Upernavik,GL,72.7868,-56.1549,4.64,97,11,6.85,few clouds
40,Awjilah,LY,29.1081,21.2869,62.35,50,0,9.35,clear sky
41,Hithadhoo,MV,-0.6,73.0833,80.44,84,98,22.5,light rain
42,Khatanga,RU,71.9667,102.5,18.25,92,100,7.65,overcast clouds
43,East London,ZA,-33.0153,27.9116,66.25,53,95,2.28,overcast clouds
44,Hobyo,SO,5.3505,48.5268,82.27,68,75,11.7,broken clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,20,10.36,few clouds
46,Humberto De Campos,BR,-2.5983,-43.4611,76.06,94,92,3.87,heavy intensity rain
47,Caravelas,BR,-17.7125,-39.2481,74.23,81,0,7.4,clear sky
48,Cape Town,ZA,-33.9258,18.4232,61.11,89,2,12.66,clear sky
49,Tezu,IN,27.9167,96.1667,69.08,81,100,0.31,overcast clouds
50,Dalvik,IS,65.9702,-18.5286,31.93,96,100,13.87,snow
51,Manzil Salim,TN,35.8567,8.4765,60.87,47,61,5.86,broken clouds
52,Narsaq,GL,60.9167,-46.05,37.62,79,93,4.79,overcast clouds
53,Mbouda,CM,5.6258,10.2552,64.02,86,83,2.19,light rain
54,Kondinskoye,RU,59.6481,67.41,38.12,67,52,14.25,broken clouds
55,Port Alfred,ZA,-33.5906,26.891,60.19,96,58,5.14,broken clouds
56,Dingle,PH,10.9995,122.6711,82.02,77,100,8.75,overcast clouds
57,Lagoa,PT,39.05,-27.9833,61.54,86,85,11.48,overcast clouds
58,Carnarvon,AU,-24.8667,113.6333,59.07,72,0,9.22,clear sky
59,Saint George,US,37.1041,-113.5841,75.63,13,0,17.0,clear sky
60,Nassau,US,40.7507,-73.5829,56.05,73,75,9.22,broken clouds
61,Chuy,UY,-33.6971,-53.4616,55.9,82,11,6.08,few clouds
62,Saint-Augustin,CA,51.226,-58.6502,38.5,91,100,3.18,overcast clouds
63,Sao Filipe,CV,14.8961,-24.4956,72.01,80,1,5.86,clear sky
64,Jacksonville,US,30.3322,-81.6556,81.25,69,75,13.8,broken clouds
65,Kasongo-Lunda,CD,-6.4667,16.8167,69.06,96,67,0.92,broken clouds
66,Cidreira,BR,-30.1811,-50.2056,64.89,89,100,19.13,overcast clouds
67,Morondava,MG,-20.2833,44.2833,74.03,76,1,5.35,clear sky
68,Mehamn,NO,71.0357,27.8492,25.54,69,100,19.93,light snow
69,Nanortalik,GL,60.1432,-45.2371,32.58,90,88,7.94,overcast clouds
70,Bredasdorp,ZA,-34.5322,20.0403,60.3,98,24,4.76,few clouds
71,Jamestown,US,42.097,-79.2353,62.19,89,100,9.22,overcast clouds
72,Victoria,HK,22.2855,114.1577,76.24,66,58,5.99,broken clouds
73,Olafsvik,IS,64.8945,-23.7142,35.29,65,75,15.14,broken clouds
74,Muros,ES,42.7762,-9.0603,58.08,73,6,15.21,clear sky
75,Araouane,ML,18.9048,-3.5265,83.05,12,59,6.89,broken clouds
76,Hun,LY,29.1268,15.9477,67.19,28,25,10.2,scattered clouds
77,Coruripe,BR,-10.1256,-36.1756,76.48,90,23,7.02,light rain
78,Ust-Tsilma,RU,65.441,52.1498,31.75,91,70,9.24,broken clouds
79,Mahajanga,MG,-15.7167,46.3167,75.22,83,20,2.3,few clouds
80,Pitimbu,BR,-7.4706,-34.8086,79.39,85,62,12.06,broken clouds
81,Arlit,NE,18.7369,7.3853,88.07,10,59,11.88,broken clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.69,85,11,16.11,few clouds
83,Patti,IN,31.2808,74.8572,82.47,28,38,6.15,scattered clouds
84,Sungaipenuh,ID,-2.0833,101.3833,66.33,96,100,0.89,overcast clouds
85,Walvis Bay,NA,-22.9575,14.5053,76.15,38,2,2.3,clear sky
86,Gat,IL,31.61,34.7642,67.41,100,30,8.99,scattered clouds
87,Peniche,PT,39.3558,-9.3811,59.29,89,28,14.16,scattered clouds
88,Souillac,MU,-20.5167,57.5167,75.58,88,75,8.05,light intensity shower rain
89,Grand Gaube,MU,-20.0064,57.6608,75.6,81,10,5.01,clear sky
90,Hami,CN,42.8,93.45,73.54,13,63,1.45,broken clouds
91,Goianesia,BR,-15.3175,-49.1175,73.04,60,77,0.78,broken clouds
92,Coari,BR,-4.085,-63.1414,75.42,96,67,2.19,broken clouds
93,Chatakonda,IN,17.55,80.65,79.99,67,100,3.38,overcast clouds
94,Dakar,SN,14.6937,-17.4441,69.93,88,75,6.91,broken clouds
95,Ilulissat,GL,69.2167,-51.1,26.62,80,100,8.05,overcast clouds
96,Salalah,OM,17.0151,54.0924,84.29,84,0,5.75,clear sky
97,Secovce,SK,48.7007,21.661,54.79,89,37,6.53,light rain
98,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,8.05,light intensity shower rain
99,Zarautz,ES,43.2844,-2.1699,59.74,82,97,5.86,overcast clouds
100,Rakiv Lis,UA,51.6217,24.9243,43.21,92,79,6.02,broken clouds
101,Oussouye,SN,12.485,-16.5469,71.78,74,90,9.48,overcast clouds
102,Pemba,MZ,-12.974,40.5178,74.1,94,20,10.36,few clouds
103,Luderitz,NA,-26.6481,15.1594,65.41,55,0,9.84,clear sky
104,Resistencia,AR,-27.4606,-58.9839,60.1,84,0,5.75,clear sky
105,Rocha,UY,-34.4833,-54.3333,51.69,87,33,0.31,scattered clouds
106,Mangrol,IN,21.1167,70.1167,80.76,83,0,8.41,clear sky
107,Dutse,NG,11.7594,9.3392,83.46,43,49,9.01,scattered clouds
108,Teeli,RU,51.0333,90.2333,47.53,55,74,1.66,broken clouds
109,Ponta Delgada,PT,37.7333,-25.6667,64.51,94,75,3.44,light intensity drizzle rain
110,Maunatlala,BW,-22.597,27.6301,57.56,62,0,1.88,clear sky
111,Ancud,CL,-41.8697,-73.8203,52.99,97,100,9.24,overcast clouds
112,Raga,SS,8.4596,25.678,74.26,82,100,3.31,overcast clouds
113,Nathdwara,IN,24.9333,73.8167,77.13,46,0,6.71,clear sky
114,Dhidhdhoo,MV,6.8833,73.1,85.42,67,94,11.77,overcast clouds
115,Koslan,RU,63.4564,48.8989,29.98,94,68,6.55,broken clouds
116,Dudinka,RU,69.4058,86.1778,15.62,95,100,7.49,light snow
117,Harlingen,US,26.1906,-97.6961,85.96,80,100,18.41,overcast clouds
118,Nouakchott,MR,18.0858,-15.9785,66.13,85,13,9.57,few clouds
119,Bemidji,US,47.4736,-94.8803,58.05,38,0,3.44,clear sky
120,Codrington,AU,-38.2667,141.9667,54.12,72,96,11.45,overcast clouds
121,Camacha,PT,33.0833,-16.3333,58.42,67,20,10.36,few clouds
122,Mbandaka,CD,0.0487,18.2603,71.46,95,37,3.91,scattered clouds
123,Trelew,AR,-43.249,-65.3051,63.01,41,100,13.6,overcast clouds
124,Xai-Xai,MZ,-25.0519,33.6442,66.27,86,0,2.8,clear sky
125,Santa Maria,BR,-29.6842,-53.8069,58.3,94,100,10.36,overcast clouds
126,Qaqortoq,GL,60.7167,-46.0333,32.77,77,87,4.29,overcast clouds
127,Beloha,MG,-25.1667,45.05,66.54,82,0,11.68,clear sky
128,Mahibadhoo,MV,3.7833,72.9667,81.19,80,100,19.04,moderate rain
129,Vardo,NO,70.3705,31.1107,25.81,82,79,14.16,light snow
130,Bloomingdale,US,27.8936,-82.2404,86.31,80,40,20.71,light rain
131,Berbera,SO,10.4396,45.0143,85.03,74,2,2.75,clear sky
132,Iqaluit,CA,63.7506,-68.5145,15.53,78,20,13.8,few clouds
133,Saint-Philippe,RE,-21.3585,55.7679,70.21,85,47,11.92,light rain
134,Cayenne,GF,4.9333,-52.3333,80.1,1,75,3.44,light rain
135,Kamenka,RU,51.3223,42.7678,44.4,64,15,9.26,few clouds
136,Sioux Lookout,CA,50.1001,-91.917,44.67,45,20,5.75,few clouds
